NM_MUN,date,precipitation,SIGLA_UF,Lat,Long
Barra do Turvo,2023-11-22,"5,797595501",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-20,"18,35985184",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-19,"24,47980309",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-18,"7,360177994",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-17,"8,00472641",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-16,"28,31141853",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-15,"18,58891869",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-14,"14,38801956",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-13,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-12,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-11,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-10,"17,73327255",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-09,"15,07686138",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-08,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-07,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-05,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-04,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-03,"26,32081032",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-11-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-31,"8,673671722",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-30,"8,391087532",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-29,"61,00850296",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-28,"19,76942635",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-27,"27,44667816",SP,"-24,88874209","-48,42697368"
